"nsites","nindiv","ntests","psi","theta11","p111","p101","p001","theta01","b2","b3","delta","r"
20,5,1,0.234061073778663,0.790105954816332,0.996670322658401,NA,NA,0,0.83295092740003,0.239987331893994,0.95,0.999
20,5,1,0.695955282133538,0.208515389774926,0.980058180225338,NA,NA,0,0.452260910670273,0.472042590759927,0.95,0.999
20,5,1,0.140234518375248,0.430652487471001,0.950905913524912,NA,NA,0,0.728915136266965,0.124985228332225,0.95,0.999
20,5,1,0.878700187152019,0.240203744414495,0.967720761259051,NA,NA,0,0.882260700505227,0.321770007952349,0.95,0.999
20,5,1,0.0678221697264817,0.0299792853305116,0.963260882206622,NA,NA,0,0.964068040475948,0.880554336129222,0.95,0.999
20,5,1,0.423759363169316,0.107378216109006,0.958696959118196,NA,NA,0,0.482645816160366,0.0372589620193467,0.95,0.999
20,5,1,0.514181674942607,0.372793756685918,0.99542943868381,NA,NA,0,0.998997407111106,0.913574940155959,0.95,0.999
20,5,1,0.602460676645394,0.885078733865637,0.990924116220907,NA,NA,0,0.584769902700093,0.0750357998528052,0.95,0.999
20,5,1,0.295992421976989,0.968899780725362,0.952406489521777,NA,NA,0,0.0524222667973954,0.881488179419655,0.95,0.999
20,5,1,0.316918467958225,0.370971068540588,0.993549888132943,NA,NA,0,0.889797643028432,0.888943311583018,0.95,0.999
20,5,1,0.820464997456409,0.110028763334034,0.986527584429237,NA,NA,0,0.0191722929072566,0.316619164017495,0.95,0.999
20,5,1,0.420066432063933,0.173233970358968,0.973812116513809,NA,NA,0,0.817856415454531,0.181273904127302,0.95,0.999
20,5,1,0.977263250209158,0.379074231976876,0.983366780890815,NA,NA,0,0.526098896278767,0.107186393697048,0.95,0.999
20,5,1,0.980532431027153,0.600745045058662,0.956522406000202,NA,NA,0,0.948060111607658,0.232361563826445,0.95,0.999
20,5,1,0.835053080135025,0.354470529699465,0.984437453057326,NA,NA,0,0.641976933018304,0.911768996860366,0.95,0.999
20,5,1,0.00730616471823305,0.0131127367885783,0.952915745484666,NA,NA,0,0.133691698379582,0.502359865890583,0.95,0.999
20,5,1,0.844867678406183,0.782952744917944,0.978441579421633,NA,NA,0,0.304576773909619,0.0603493950041011,0.95,0.999
20,5,1,0.581685842321487,0.781306814165786,0.968519903770788,NA,NA,0,0.235873479708796,0.0674942936610896,0.95,0.999
20,5,1,0.550851562855532,0.108354901183397,0.993485321317892,NA,NA,0,0.263634394594468,0.19180429167999,0.95,0.999
20,5,1,0.432211158811348,0.726791276927106,0.984785886073671,NA,NA,0,0.166034061084734,0.113751183413435,0.95,0.999
20,5,1,0.796605403082212,0.513986903512152,0.961100662510982,NA,NA,0,0.126200897896197,0.00437136368942447,0.95,0.999
20,5,1,0.134989847248187,0.280057699473109,0.966795622184104,NA,NA,0,0.181524250250077,0.896795406074962,0.95,0.999
20,5,1,0.107997811601264,0.278638561990112,0.957062140349799,NA,NA,0,0.497100423080148,0.146996234394144,0.95,0.999
20,5,1,0.487140523087233,0.691691362023354,0.97666056647494,NA,NA,0,0.489635810106061,0.797846072526416,0.95,0.999
20,5,1,0.354107681507012,0.323251377061475,0.973266875508346,NA,NA,0,0.836537529052235,0.885266833614092,0.95,0.999
20,5,1,0.48928311798675,0.717150431278627,0.997921366041969,NA,NA,0,0.284173094975296,0.417507975819986,0.95,0.999
20,5,1,0.759675215132302,0.446635105022695,0.989884742231283,NA,NA,0,0.860370542399352,0.70414084895188,0.95,0.999
20,5,1,0.390046229908476,0.841228233590024,0.987477737687388,NA,NA,0,0.995421526964754,0.0125350999308284,0.95,0.999
20,5,1,0.67777232503565,0.527452544463798,0.974485771139304,NA,NA,0,0.491520037215669,0.460550600528484,0.95,0.999
20,5,1,0.435131918447558,0.509008016041014,0.978832845002657,NA,NA,0,0.598420086587081,0.981553761251736,0.95,0.999
20,5,1,0.739308429054217,0.834189259180799,0.991406189153937,NA,NA,0,0.219075306453044,0.763080015630228,0.95,0.999
20,5,1,0.669161812841427,0.858577662177617,0.972293011486169,NA,NA,0,0.522075126925949,0.645525224686833,0.95,0.999
