model,param.set,flag
U,1211,U
U,7211,U
U,10505,U
1,11535,ND
1,11535,D
1,8519,ND
1,8519,D
1,1174,noU
1,1174,ND
1,1174,D
1,7174,noU
1,7174,ND
1,7174,D
2,1082,noU
2,1082,ND
2,1082,D
2,7082,noU
2,7082,ND
2,7082,D
3,3151,noU
3,3151,D
3,10888,ND
3,10888,D
3,3151,ND
3,3151,D
3,5121,ND
3,5121,D
3,8344,ND
3,8344,D
3,8832,ND
3,8832,D
3,11121,noU
3,11121,ND
3,11121,D
3,10380,noU
3,10380,ND
3,10380,D
3,2798,noU
3,2798,ND
3,2798,D
3,9968,noU
3,9968,ND
3,9968,D
3,9151,noU
3,9151,ND
3,9151,D
3,8925,noU
3,8925,ND
3,8925,D
3,8798,noU
3,8798,ND
3,8798,D
3,4380,noU
3,4380,ND
3,4380,D
3,3968,noU
3,3968,ND
3,3968,D
